user_id,rank,item_id,title,score
1,1,294,Liar Liar (1997),87.7894
1,2,249,Austin Powers: International Man of Mystery (1997),86.686
1,3,250,"Fifth Element, The (1997)",86.5674
1,4,50,Star Wars (1977),86.4949
1,5,328,Conspiracy Theory (1997),86.4727
1,6,181,Return of the Jedi (1983),86.4529
1,7,919,"City of Lost Children, The (1995)",86.4156
1,8,748,"Saint, The (1997)",86.2864
1,9,235,Mars Attacks! (1996),85.7567
1,10,258,Contact (1997),85.7472
2,1,274,Sabrina (1995),22.3606
2,2,313,Titanic (1997),20.9702
2,3,124,Lone Star (1996),20.9169
2,4,268,Chasing Amy (1997),20.5822
2,5,302,L.A. Confidential (1997),20.4346
2,6,237,Jerry Maguire (1996),20.3045
2,7,14,"Postino, Il (1994)",19.7525
2,8,405,Mission: Impossible (1996),19.1602
2,9,285,Secrets & Lies (1996),19.1336
2,10,304,Fly Away Home (1996),19.1333
3,1,332,Kiss the Girls (1997),19.0092
3,2,327,Cop Land (1997),18.8632
3,3,313,Titanic (1997),18.7854
3,4,268,Chasing Amy (1997),18.2405
3,5,302,L.A. Confidential (1997),18.2199
3,6,333,"Game, The (1997)",17.6052
3,7,307,"Devil's Advocate, The (1997)",17.2233
3,8,690,Seven Years in Tibet (1997),17.1223
3,9,346,Jackie Brown (1997),16.9981
3,10,751,Tomorrow Never Dies (1997),16.852
4,1,313,Titanic (1997),16.7727
4,2,258,Contact (1997),15.5389
4,3,690,Seven Years in Tibet (1997),15.3823
4,4,302,L.A. Confidential (1997),15.2756
4,5,332,Kiss the Girls (1997),15.1837
4,6,272,Good Will Hunting (1997),15.0747
4,7,300,Air Force One (1997),14.752
4,8,268,Chasing Amy (1997),14.6454
4,9,748,"Saint, The (1997)",14.4191
4,10,307,"Devil's Advocate, The (1997)",14.0743
5,1,227,Star Trek VI: The Undiscovered Country (1991),58.6094
5,2,240,Beavis and Butt-head Do America (1996),58.5198
5,3,1,Toy Story (1995),57.8356
5,4,411,"Nutty Professor, The (1996)",57.4327
5,5,94,Home Alone (1990),57.3237
5,6,250,"Fifth Element, The (1997)",57.2195
5,7,577,Coneheads (1993),57.1225
5,8,208,Young Frankenstein (1974),57.0208
5,9,168,Monty Python and the Holy Grail (1974),56.9417
5,10,265,"Hunt for Red October, The (1990)",56.8697
